YearStart,YearEnd,LocationDesc,Topic,Question,DataValueUnit,DataValue
2012,2012,Tennessee,Diabetes,Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,%,56.6
2016,2016,Oregon,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,3.9
2014,2014,Missouri,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with asthma,%,85.8
2012,2012,Washington,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,"cases per 100,000",253.7
2010,2010,California,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,"cases per 1,000",9.00
2013,2013,Illinois,Cardiovascular Disease,Mortality from diseases of the heart,"cases per 100,000",202.8
2013,2013,Montana,Asthma,Asthma mortality rate,"cases per 1,000,000",
2015,2015,Mississippi,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,,
2016,2016,New Jersey,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,21.5
2016,2016,Pennsylvania,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among women aged 18-44 years,%,
2009,2013,Texas,Cancer,"Invasive cancer of the female breast, incidence",,57
2011,2011,Texas,Chronic Obstructive Pulmonary Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease,%,
2018,2018,West Virginia,Oral Health,No tooth loss among adults aged 18-64 years,%,
2012,2016,Kentucky,Cancer,"Cancer of the lung and bronchus, incidence",,4883
2015,2015,South Carolina,Alcohol,Heavy drinking among adults aged >= 18 years,%,8.2
2013,2013,Michigan,Reproductive Health,Folic acid supplementation,%,
2010,2010,Missouri,Cardiovascular Disease,Hospitalization for stroke,"cases per 10,000",
2011,2011,Virginia,Arthritis,Arthritis among adults aged >= 18 years,%,23.6
2013,2013,Ohio,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,"cases per 100,000",88.9
2014,2014,Wyoming,Cardiovascular Disease,Hospitalization for stroke,,
2015,2015,Virginia,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,%,
2015,2015,West Virginia,Cardiovascular Disease,Hospitalization for acute myocardial infarction,"cases per 10,000",
2009,2013,Arizona,Cancer,"Cancer of the colon and rectum (colorectal), incidence",,2606
2015,2015,Iowa,Reproductive Health,Postpartum checkup,%,
2015,2015,New Jersey,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,21.4
2011,2011,Washington,Tobacco,Current smokeless tobacco use among adults aged >= 18 years,%,0.6
2016,2016,Iowa,Arthritis,Arthritis among adults aged >= 18 years who are obese,%,38.3
2015,2015,Maryland,"Nutrition, Physical Activity, and Weight Status",Soda consumption among high school students,%,14.2
2013,2013,Hawaii,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",15.01
2011,2011,South Dakota,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease,%,
2018,2018,Montana,Overarching Conditions,Fair or poor self-rated health status among adults aged >= 18 years,%,25.2
2011,2015,Minnesota,Cancer,"Invasive melanoma, incidence","per 100,000",28.4
2015,2015,Nebraska,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults aged >= 18 years,%,25.4
2011,2011,North Dakota,Diabetes,Mortality due to diabetes reported as any listed cause of death,"cases per 100,000",
2018,2018,Illinois,Asthma,Current asthma prevalence among adults aged >= 18 years,%,11.1
2014,2014,North Dakota,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,,433
2012,2012,Oklahoma,"Nutrition, Physical Activity, and Weight Status",Live births occurring at Baby Friendly Facilities,%,0.0
2016,2016,North Carolina,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 18,%,6.8
2014,2014,North Dakota,Diabetes,Hospitalization with diabetes as a listed diagnosis,"cases per 10,000",
2016,2016,Oregon,Arthritis,Arthritis among adults aged >= 18 years who have heart disease,%,67.8
2016,2016,Michigan,Tobacco,Quit attempts in the past year among current smokers,%,74.5
2016,2016,Vermont,Oral Health,Visits to dentist or dental clinic among adults aged >= 18 years,%,
2011,2011,New Mexico,Arthritis,Physical inactivity among adults aged >= 18 years with arthritis,%,29.5
2010,2010,Alabama,Cardiovascular Disease,Mortality from diseases of the heart,"cases per 100,000",18.3
2013,2013,Hawaii,Asthma,Asthma prevalence among women aged 18-44 years,%,20.3
2014,2014,Indiana,Cardiovascular Disease,Hospitalization for stroke,,
2015,2015,Oregon,Diabetes,Mortality due to diabetes reported as any listed cause of death,"cases per 100,000",67.0
2018,2018,Florida,Chronic Obstructive Pulmonary Disease,Influenza vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease,%,50.3
2015,2015,Oregon,"Nutrition, Physical Activity, and Weight Status",Television viewing among high school students,%,
2014,2014,Mississippi,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,33.5
2013,2013,Montana,Diabetes,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,%,48
2010,2014,Maine,Cancer,"Cancer of the colon and rectum (colorectal), incidence","per 100,000",35.6
2014,2014,Utah,Chronic Kidney Disease,Incidence of treated end-stage renal disease attributed to diabetes,"cases per 1,000,000",251
2015,2015,North Carolina,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years,,46338
2016,2016,Georgia,Cardiovascular Disease,Mortality from cerebrovascular disease (stroke),"cases per 100,000",6.9
2014,2014,Virginia,Chronic Obstructive Pulmonary Disease,Emergency department visit rate for chronic obstructive pulmonary disease as any diagnosis,,
2016,2016,Illinois,Diabetes,Visits to dentist or dental clinic among adults aged >= 18 years with diagnosed diabetes,%,
2011,2011,Oregon,Alcohol,Chronic liver disease mortality,"cases per 100,000",5.1
2016,2016,California,Diabetes,Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes,%,25.5
2016,2016,Virgin Islands,"Nutrition, Physical Activity, and Weight Status",Healthy weight among adults aged >= 18 years,%,33.4
2009,2013,Kentucky,Cancer,"Cancer of the colon and rectum (colorectal), mortality",,
2013,2013,Wisconsin,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease,%,81.5
2010,2010,Louisiana,Cardiovascular Disease,Mortality from coronary heart disease,"cases per 100,000",92.1
2016,2016,Kentucky,Chronic Kidney Disease,Mortality with end-stage renal disease,Number,365
2014,2014,South Carolina,Diabetes,Amputation of a lower extremity attributable to diabetes,"cases per 10,000",
2015,2015,New Jersey,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,%,1.9
2013,2013,New Hampshire,Reproductive Health,Postpartum checkup,%,
2012,2012,Kentucky,Tobacco,Current cigarette smoking among women aged 18-44 years,%,32.6
2010,2010,Pennsylvania,Cardiovascular Disease,Mortality from diseases of the heart,"cases per 100,000",96.8
2017,2017,Nevada,"Nutrition, Physical Activity, and Weight Status","Number of farmers markets per 100,000 residents","per 100,000 residents",1.3
2014,2014,Alabama,Cardiovascular Disease,Mortality from cerebrovascular disease (stroke),"cases per 100,000",48.3
2015,2015,Ohio,Diabetes,Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes,%,
2012,2012,Puerto Rico,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,
2016,2016,West Virginia,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,
2010,2014,District of Columbia,Cancer,"Invasive cancer of the oral cavity or pharynx, incidence",,22
2011,2015,Missouri,Cancer,"Cancer of the colon and rectum (colorectal), incidence",,1468
2018,2018,Kansas,Overarching Conditions,Recent physically unhealthy days among adults aged >= 18 years,Number,3.8
2014,2014,Puerto Rico,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults aged >= 18 years,%,
2018,2018,Michigan,Overarching Conditions,Fair or poor self-rated health status among adults aged >= 18 years,%,25.8
2014,2014,Wisconsin,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease or stroke,%,61.5
2015,2015,Wisconsin,Chronic Obstructive Pulmonary Disease,Prevalence of activity limitation among adults >= 18 with diagnosed chronic obstructive pulmonary disease,%,
2018,2018,Hawaii,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,25.0
2011,2011,Maine,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,"cases per 100,000",
2012,2012,Virgin Islands,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,%,
2011,2011,Nevada,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years who smoke,%,20.9
2014,2014,Massachusetts,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with asthma,%,88.4
2014,2014,Wyoming,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 18,%,
2011,2011,Pennsylvania,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",46.02
2017,2017,New Jersey,Asthma,Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma,%,65.5
2014,2014,Alabama,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,13.0
2017,2017,Wisconsin,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,%,61.9
2015,2015,Arizona,Tobacco,Current cigarette smoking among youth,%,20.5
2013,2013,Illinois,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,5.3
2010,2010,Indiana,Cardiovascular Disease,Mortality from coronary heart disease,"cases per 100,000",116.3
2018,2018,Arkansas,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,19.6
2015,2015,Iowa,Arthritis,Physical inactivity among adults aged >= 18 years with arthritis,%,
2014,2014,Utah,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease or stroke,%,33.1
2014,2014,District of Columbia,"Nutrition, Physical Activity, and Weight Status",Healthy weight among adults aged >= 18 years,%,41.3
2017,2017,Minnesota,Arthritis,Adults aged >= 18 years with arthritis who have taken a class to learn how to manage arthritis symptoms,%,
2010,2014,Alabama,Cancer,"Cancer of the female cervix, mortality","per 100,000",
2017,2017,Maryland,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,31.4
2015,2015,Maryland,Arthritis,Work limitation due to arthritis among adults aged 18-64 years who have doctor-diagnosed arthritis,%,
2014,2014,Wyoming,Arthritis,Arthritis among adults aged >= 18 years,%,
2011,2011,West Virginia,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,"cases per 100,000",2.3
2011,2011,Delaware,Chronic Kidney Disease,Mortality with end-stage renal disease,"cases per 100,000",95.0
2014,2014,West Virginia,Chronic Obstructive Pulmonary Disease,Prevalence of activity limitation among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,%,
2012,2012,West Virginia,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults aged >= 18 years,%,34.7
2017,2017,Alaska,Overarching Conditions,Recent activity limitation among adults aged >= 18 years,Number,
2016,2016,South Dakota,Tobacco,Current smoking among adults aged >= 18 years,%,19.1
2017,2017,Nevada,"Nutrition, Physical Activity, and Weight Status",Farmers markets that accept Women and Infant Children (WIC) farmers market nutrition program coupons,%,7.5
2017,2017,Iowa,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,"cases per 100,000",142.8
2014,2014,New Mexico,Overarching Conditions,Premature mortality among adults aged 45-64 years,"cases per 100,000",676.6
2015,2015,Florida,Diabetes,Foot examination among adults aged >= 18 years with diagnosed diabetes,%,68.6
2018,2018,Maine,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease or stroke,%,
2014,2014,California,Alcohol,Chronic liver disease mortality,"cases per 100,000",17.0
2013,2013,Washington,Asthma,Asthma mortality rate,"cases per 1,000,000",
2013,2013,South Dakota,"Nutrition, Physical Activity, and Weight Status",Healthy weight among adults aged >= 18 years,%,31.4
2011,2015,New Hampshire,Cancer,"Invasive cancer of the female breast, incidence","per 100,000",69.3
2011,2011,Texas,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease or stroke,%,26.7
2015,2015,Vermont,Arthritis,Activity limitation due to arthritis among adults aged >= 18 years who have doctor-diagnosed arthritis,%,
2016,2016,New Jersey,Diabetes,Mortality due to diabetes reported as any listed cause of death,Number,3144
2015,2015,South Dakota,Arthritis,Work limitation due to arthritis among adults aged 18-64 years who have doctor-diagnosed arthritis,%,38.3
2012,2012,Alaska,Cancer,Mammography use among women aged 50-74 years,%,
2014,2014,Vermont,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,%,
2016,2016,Hawaii,Cardiovascular Disease,Mortality from diseases of the heart,"cases per 100,000",123.1
2011,2011,Minnesota,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,,31
2009,2013,Texas,Cancer,"Cancer of the female cervix, mortality",,160
2012,2012,Ohio,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults aged >= 18 years,%,27.9
2012,2012,Indiana,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among adults aged >= 18 years,%,42.1
2017,2017,Wisconsin,"Nutrition, Physical Activity, and Weight Status",Participation in daily school physical education classes among high school students,%,
2012,2016,Alaska,Cancer,"Cancer of the oral cavity and pharynx, mortality","per 100,000",
2018,2018,Michigan,Overarching Conditions,Recent activity limitation among adults aged >= 18 years,Number,3.9
2015,2015,Virgin Islands,Asthma,Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma,%,
2014,2014,Kentucky,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 18,%,
2015,2015,Iowa,Asthma,Emergency department visit rate for asthma,,33
2016,2016,Pennsylvania,Asthma,Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma,%,
2014,2014,Michigan,Chronic Obstructive Pulmonary Disease,Emergency department visit rate for chronic obstructive pulmonary disease as any diagnosis,"cases per 10,000",
2011,2011,Oklahoma,Cardiovascular Disease,Mortality from heart failure,"cases per 100,000",132.3
2012,2012,Puerto Rico,Oral Health,All teeth lost among adults aged >= 65 years,%,20.8
2012,2012,Puerto Rico,Chronic Obstructive Pulmonary Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease,%,34.7
2017,2017,Alaska,Tobacco,Current smokeless tobacco use among adults aged >= 18 years,%,
2015,2015,New Jersey,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis,"cases per 10,000",42.17
2008,2012,Arkansas,Cancer,"Cancer of the lung and bronchus, mortality","per 100,000",19.1
2014,2014,Indiana,Chronic Obstructive Pulmonary Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease,%,
2010,2014,Alaska,Cancer,"Invasive melanoma, incidence","per 100,000",20.9
2017,2017,Iowa,"Nutrition, Physical Activity, and Weight Status",Healthy weight among adults aged >= 18 years,%,31.1
2018,2018,Alaska,Cancer,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,
2009,2013,Kentucky,Cancer,"Cancer of the colon and rectum (colorectal), mortality",,446
2013,2013,Kentucky,Diabetes,Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,%,56.9
2015,2015,New Jersey,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,%,
2014,2014,Rhode Island,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis,"cases per 10,000",99.36
2011,2011,Arizona,Arthritis,Activity limitation due to arthritis among adults aged >= 18 years who have doctor-diagnosed arthritis,%,51.5
2015,2015,Kansas,Cardiovascular Disease,Cholesterol screening among adults aged >= 18 years,%,78.3
2014,2014,Connecticut,Cardiovascular Disease,Hospitalization for stroke,"cases per 10,000",
2012,2012,Michigan,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults aged >= 18 years,%,24.7
2018,2018,Montana,Diabetes,Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes,%,
2016,2016,District of Columbia,Overarching Conditions,Premature mortality among adults aged 45-64 years,"cases per 100,000",1049.
2014,2014,Maine,Cardiovascular Disease,Mortality from coronary heart disease,"cases per 100,000",113.4
2014,2014,Montana,Overarching Conditions,Premature mortality among adults aged 45-64 years,"cases per 100,000",
2018,2018,Nebraska,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years who smoke,%,
2011,2011,Illinois,Overarching Conditions,Recent physically unhealthy days among adults aged >= 18 years,Number,4.1
2014,2014,Alaska,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among adults aged >= 18 years,%,59.6
2016,2016,New Jersey,Arthritis,Arthritis among adults aged >= 18 years who are obese,%,
2017,2017,Michigan,Asthma,Asthma mortality rate,"cases per 1,000,000",
2014,2014,Montana,Diabetes,Mortality due to diabetes reported as any listed cause of death,,439
2010,2010,Oregon,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,"cases per 1,000",14.14
2009,2013,Mississippi,Cancer,"Invasive cancer (all sites combined), mortality","per 100,000",198.8
2014,2014,New Mexico,Oral Health,Six or more teeth lost among adults aged >= 65 years,%,37.8
2016,2016,Connecticut,Diabetes,Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,%,63.1
2011,2011,Michigan,Chronic Obstructive Pulmonary Disease,Prevalence of activity limitation among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,%,61.6
2010,2014,Virginia,Cancer,"Invasive cancer of the female breast, incidence",,5718
2011,2011,Kansas,Asthma,Asthma mortality rate,,
2013,2013,Iowa,Diabetes,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,%,
2012,2016,Rhode Island,Cancer,"Invasive melanoma, incidence","per 100,000",
2010,2010,Mississippi,Cardiovascular Disease,Mortality from cerebrovascular disease (stroke),"cases per 100,000",42.7
2016,2016,Colorado,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease,%,29.5
2018,2018,Arizona,Asthma,Influenza vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,
2017,2017,Oklahoma,Diabetes,Mortality due to diabetes reported as any listed cause of death,"cases per 100,000",173.1
2011,2011,New Hampshire,Cardiovascular Disease,Mortality from heart failure,,1324
2018,2018,Connecticut,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 45 years,%,4.9
2014,2014,Virgin Islands,Arthritis,Arthritis among adults aged >= 18 years who have heart disease,%,
2011,2015,Nevada,Cancer,"Cancer of the lung and bronchus, mortality","per 100,000",45.3
2011,2011,West Virginia,Diabetes,Mortality due to diabetes reported as any listed cause of death,,2495
2017,2017,Guam,Arthritis,Arthritis among adults aged >= 18 years who have diabetes,%,
2017,2017,Nebraska,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,45.9
2014,2014,Wyoming,Asthma,Influenza vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,43
2011,2011,New Mexico,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,53.5
2016,2016,New Jersey,Chronic Obstructive Pulmonary Disease,Prevalence of activity limitation among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,%,
2014,2014,Louisiana,Overarching Conditions,Premature mortality among adults aged 45-64 years,,6387
2013,2013,West Virginia,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,1654
2009,2013,District of Columbia,Cancer,"Cancer of the lung and bronchus, incidence","per 100,000",42.7
2012,2012,Mississippi,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,"cases per 1,000",
2014,2014,New Hampshire,Older Adults,Proportion of older adults aged 50-64 years who are up to date on a core set of clinical preventive services,%,
2016,2016,Virgin Islands,Overarching Conditions,Recent activity limitation among adults aged >= 18 years,Number,
2008,2012,Georgia,Cancer,"Cancer of the prostate, mortality",,441
2014,2014,Michigan,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,"cases per 100,000",245.7
2012,2012,Tennessee,Cancer,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,62.4
2016,2016,Indiana,Overarching Conditions,Fair or poor self-rated health status among adults aged >= 18 years,%,19.3
2018,2018,South Carolina,Asthma,Influenza vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,
2017,2017,Vermont,Cardiovascular Disease,High cholesterol prevalence among adults aged >= 18 years,%,20.5
2013,2013,Idaho,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease,%,
2013,2013,Guam,Cancer,Mammography use among women aged 50-74 years,%,
2011,2011,Illinois,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 45 years,%,8.0
2014,2014,Maine,Cardiovascular Disease,Mortality from diseases of the heart,"cases per 100,000",184.2
2015,2015,Missouri,Cardiovascular Disease,Hospitalization for stroke,,
2015,2015,North Carolina,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines for substantial health benefits among adults aged >= 18 years,%,64.7
2013,2013,Maine,Overarching Conditions,Poverty,%,13.1
2013,2013,Hawaii,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,2.6
2011,2011,Vermont,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,"cases per 100,000",
2012,2016,South Dakota,Cancer,"Cancer of the colon and rectum (colorectal), incidence","per 100,000",51.3
2014,2014,Connecticut,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,"cases per 1,000",
2012,2012,Maine,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,%,
2015,2015,Oregon,Chronic Obstructive Pulmonary Disease,Prevalence of activity limitation among adults >= 18 with diagnosed chronic obstructive pulmonary disease,%,66.9
2010,2014,Delaware,Cancer,"Invasive cancer (all sites combined), mortality",,
2017,2017,Alaska,Cardiovascular Disease,High cholesterol prevalence among adults aged >= 18 years,%,30.7
2015,2015,Virginia,Tobacco,Quit attempts in the past year among current smokers,%,
2015,2015,New Hampshire,Chronic Obstructive Pulmonary Disease,Emergency department visit rate for chronic obstructive pulmonary disease as any diagnosis,,
2011,2015,Colorado,Cancer,"Invasive cancer (all sites combined), incidence","per 100,000",418.4
2008,2012,Pennsylvania,Cancer,"Invasive melanoma, incidence",,
2010,2010,South Dakota,Cardiovascular Disease,Mortality from diseases of the heart,,
2012,2012,Montana,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,
2013,2013,Kansas,Diabetes,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,%,80.3
2008,2012,Florida,Cancer,"Cancer of the colon and rectum (colorectal), incidence","per 100,000",37.5
2016,2016,Virginia,Cardiovascular Disease,Mortality from cerebrovascular disease (stroke),Number,711
2011,2011,Georgia,Diabetes,Mortality due to diabetes reported as any listed cause of death,,2103
2012,2016,Massachusetts,Cancer,"Cancer of the oral cavity and pharynx, mortality","per 100,000",
2018,2018,Maryland,Oral Health,Visits to dentist or dental clinic among adults aged >= 18 years,%,67.0
2018,2018,North Carolina,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,%,9.8
2012,2016,Washington,Cancer,"Invasive melanoma, incidence","per 100,000",2.8
2012,2012,New Hampshire,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,%,83.1
2012,2012,Connecticut,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease,%,81.9
2014,2014,New Hampshire,Chronic Obstructive Pulmonary Disease,Emergency department visit rate for chronic obstructive pulmonary disease as any diagnosis,"cases per 10,000",
2017,2017,New York,Overarching Conditions,Current lack of health insurance among adults aged 18-64 years,%,14.4
2018,2018,Illinois,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults aged >= 18 years,%,27.0
2013,2013,Arkansas,Diabetes,Amputation of a lower extremity attributable to diabetes,,702
2018,2018,Washington,Tobacco,Current cigarette smoking among women aged 18-44 years,%,
2016,2016,Washington,Chronic Obstructive Pulmonary Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease,%,68.6
2012,2012,Vermont,Older Adults,Proportion of older adults aged >= 65 years who are up to date on a core set of clinical preventive services,%,
2016,2016,Oregon,Cancer,Mammography use among women aged 50-74 years,%,
2014,2014,California,Chronic Obstructive Pulmonary Disease,Emergency department visit rate for chronic obstructive pulmonary disease as first-listed diagnosis,"cases per 10,000",
2012,2012,North Dakota,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,333
2016,2016,Wyoming,Older Adults,Proportion of older adults aged >= 65 years who are up to date on a core set of clinical preventive services,%,41.9
2012,2012,Colorado,Cardiovascular Disease,Mortality from diseases of the heart,"cases per 100,000",103.6
2013,2013,Louisiana,"Nutrition, Physical Activity, and Weight Status",Obesity among high school students,%,12.9
2010,2010,Oregon,Cardiovascular Disease,Hospitalization for stroke,"cases per 10,000",29.15
2017,2017,Pennsylvania,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,,
2015,2015,Massachusetts,"Nutrition, Physical Activity, and Weight Status",Participation in daily school physical education classes among high school students,%,18.4
2018,2018,Colorado,Diabetes,Visits to dentist or dental clinic among adults aged >= 18 years with diagnosed diabetes,%,63.1
2017,2017,Puerto Rico,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,
2014,2014,Washington,Arthritis,Arthritis among adults aged >= 18 years,%,20.9
2017,2017,New Mexico,Chronic Obstructive Pulmonary Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease,%,
2015,2015,Florida,Cardiovascular Disease,Taking medicine for high blood pressure control among adults aged >= 18 years with high blood pressure,%,84.5
2014,2014,South Carolina,Cardiovascular Disease,Hospitalization for stroke,"cases per 10,000",
2010,2010,New Jersey,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis,,59309
2016,2016,Puerto Rico,Overarching Conditions,Recent physically unhealthy days among adults aged >= 18 years,Number,5.1
2017,2017,Alaska,Chronic Obstructive Pulmonary Disease,Influenza vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease,%,47.6
2011,2011,Louisiana,Overarching Conditions,Premature mortality among adults aged 45-64 years,"cases per 100,000",695
2018,2018,Iowa,Diabetes,Diabetes prevalence among women aged 18-44 years,%,
2016,2016,Michigan,Asthma,Asthma mortality rate,,
2013,2013,Nevada,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,
2009,2013,Maryland,Cancer,"Invasive cancer (all sites combined), incidence","per 100,000",507.9
2012,2012,Louisiana,Cancer,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,35.6
2012,2012,South Dakota,Overarching Conditions,Current health care coverage among women aged 18-44 years,%,
2016,2016,Florida,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 18,%,8.7
